,DataSavedTime,Item005
0,2019-07-12 07:53:20.600,0.0
1,2019-07-12 07:53:20.700,16.35
2,2019-07-12 07:53:20.800,33.12
3,2019-07-12 07:53:20.900,33.12
4,2019-07-12 07:53:21.000,43.82
5,2019-07-12 07:53:21.100,50.03
6,2019-07-12 07:53:21.200,51.25
7,2019-07-12 07:53:21.300,51.25
8,2019-07-12 07:53:21.400,44.52
9,2019-07-12 07:53:21.500,45.98
10,2019-07-12 07:53:21.600,46.82
11,2019-07-12 07:53:21.700,46.82
12,2019-07-12 07:53:21.800,46.78
13,2019-07-12 07:53:21.900,46.78
14,2019-07-12 07:53:22.000,45.39
15,2019-07-12 07:53:22.100,45.81
16,2019-07-12 07:53:22.200,45.81
17,2019-07-12 07:53:22.300,46.84
18,2019-07-12 07:53:22.400,46.84
19,2019-07-12 07:53:22.500,45.6
20,2019-07-12 07:53:22.600,45.08
21,2019-07-12 07:53:22.700,45.08
22,2019-07-12 07:53:22.800,37.51
23,2019-07-12 07:53:22.900,34.24
24,2019-07-12 07:53:23.000,30.23
25,2019-07-12 07:53:23.100,26.87
26,2019-07-12 07:53:23.200,26.87
27,2019-07-12 07:53:23.300,25.6
28,2019-07-12 07:53:23.400,25.42
29,2019-07-12 07:53:23.500,25.74
30,2019-07-12 07:53:23.600,25.74
31,2019-07-12 07:53:23.700,25.73
32,2019-07-12 07:53:23.800,25.98
33,2019-07-12 07:53:23.900,25.98
34,2019-07-12 07:53:24.000,25.98
35,2019-07-12 07:53:24.100,25.85
36,2019-07-12 07:53:24.200,25.67
37,2019-07-12 07:53:24.300,25.67
38,2019-07-12 07:53:24.400,25.74
39,2019-07-12 07:53:24.500,25.74
40,2019-07-12 07:53:24.600,25.52
41,2019-07-12 07:53:24.700,25.75
42,2019-07-12 07:53:24.800,25.75
43,2019-07-12 07:53:24.900,25.62
44,2019-07-12 07:53:25.000,25.85
45,2019-07-12 07:53:25.100,25.85
46,2019-07-12 07:53:25.200,25.85
47,2019-07-12 07:53:25.300,25.6
48,2019-07-12 07:53:25.400,25.76
49,2019-07-12 07:53:25.500,25.76
50,2019-07-12 07:53:25.600,25.76
51,2019-07-12 07:53:25.700,25.74
52,2019-07-12 07:53:25.800,25.74
53,2019-07-12 07:53:25.900,25.64
54,2019-07-12 07:53:26.000,25.84
55,2019-07-12 07:53:26.100,25.84
56,2019-07-12 07:53:26.200,25.89
57,2019-07-12 07:53:26.300,25.89
58,2019-07-12 07:53:26.400,25.82
59,2019-07-12 07:53:26.500,25.87
60,2019-07-12 07:53:26.600,25.87
61,2019-07-12 07:53:26.700,25.77
62,2019-07-12 07:53:26.800,25.77
63,2019-07-12 07:53:26.900,25.93
64,2019-07-12 07:53:27.000,25.93
65,2019-07-12 07:53:27.100,25.67
66,2019-07-12 07:53:27.200,25.61
67,2019-07-12 07:53:27.300,25.65
68,2019-07-12 07:53:27.400,25.65
69,2019-07-12 07:53:27.500,25.35
70,2019-07-12 07:53:27.600,25.83
71,2019-07-12 07:53:27.700,25.83
72,2019-07-12 07:53:27.800,25.83
73,2019-07-12 07:53:27.900,25.89
74,2019-07-12 07:53:28.000,25.89
75,2019-07-12 07:53:28.100,25.82
76,2019-07-12 07:53:28.200,25.55
77,2019-07-12 07:53:28.300,25.78
78,2019-07-12 07:53:28.400,25.78
79,2019-07-12 07:53:28.500,25.86
80,2019-07-12 07:53:28.600,25.86
81,2019-07-12 07:53:28.700,25.88
82,2019-07-12 07:53:28.800,25.88
83,2019-07-12 07:53:28.900,25.78
84,2019-07-12 07:53:29.000,25.8
85,2019-07-12 07:53:29.100,25.8
86,2019-07-12 07:53:29.200,25.74
87,2019-07-12 07:53:29.300,25.93
88,2019-07-12 07:53:29.400,25.93
89,2019-07-12 07:53:29.500,25.51
90,2019-07-12 07:53:29.600,25.46
91,2019-07-12 07:53:29.700,25.46
92,2019-07-12 07:53:29.800,25.26
93,2019-07-12 07:53:29.900,25.5
94,2019-07-12 07:53:30.000,25.5
95,2019-07-12 07:53:30.100,25.5
96,2019-07-12 07:53:30.200,25.25
97,2019-07-12 07:53:30.300,25.25
98,2019-07-12 07:53:30.400,25.36
99,2019-07-12 07:53:30.500,25.36
100,2019-07-12 07:53:30.600,25.22
101,2019-07-12 07:53:30.700,25.43
102,2019-07-12 07:53:30.800,25.43
103,2019-07-12 07:53:30.900,25.66
104,2019-07-12 07:53:31.000,25.66
105,2019-07-12 07:53:31.100,25.66
106,2019-07-12 07:53:31.200,25.44
107,2019-07-12 07:53:31.300,25.43
108,2019-07-12 07:53:31.400,25.07
109,2019-07-12 07:53:31.500,25.36
110,2019-07-12 07:53:31.600,25.57
111,2019-07-12 07:53:31.700,25.57
112,2019-07-12 07:53:31.800,25.57
113,2019-07-12 07:53:31.900,25.57
114,2019-07-12 07:53:32.000,25.57
115,2019-07-12 07:53:32.100,25.5
116,2019-07-12 07:53:32.200,25.22
117,2019-07-12 07:53:32.300,25.28
118,2019-07-12 07:53:32.400,25.28
119,2019-07-12 07:53:32.500,25.32
120,2019-07-12 07:53:32.600,25.32
121,2019-07-12 07:53:32.700,25.32
122,2019-07-12 07:53:32.800,25.38
123,2019-07-12 07:53:32.900,25.57
124,2019-07-12 07:53:33.000,25.57
125,2019-07-12 07:53:33.100,25.57
126,2019-07-12 07:53:33.200,25.56
127,2019-07-12 07:53:33.300,25.56
128,2019-07-12 07:53:33.400,25.22
129,2019-07-12 07:53:33.500,25.45
130,2019-07-12 07:53:33.600,25.45
131,2019-07-12 07:53:33.700,25.36
132,2019-07-12 07:53:33.800,25.36
133,2019-07-12 07:53:33.900,25.39
134,2019-07-12 07:53:34.000,25.39
135,2019-07-12 07:53:34.100,25.15
136,2019-07-12 07:53:34.200,25.37
137,2019-07-12 07:53:34.300,25.57
138,2019-07-12 07:53:34.400,25.57
139,2019-07-12 07:53:34.500,25.29
140,2019-07-12 07:53:34.600,25.51
141,2019-07-12 07:53:34.700,25.51
142,2019-07-12 07:53:34.800,25.47
143,2019-07-12 07:53:34.900,25.5
144,2019-07-12 07:53:35.000,25.5
145,2019-07-12 07:53:35.100,25.66
146,2019-07-12 07:53:35.200,25.66
147,2019-07-12 07:53:35.300,25.78
148,2019-07-12 07:53:35.400,25.78
149,2019-07-12 07:53:35.500,25.55
150,2019-07-12 07:53:35.600,25.55
151,2019-07-12 07:53:35.700,25.55
152,2019-07-12 07:53:35.800,25.5
153,2019-07-12 07:53:35.900,25.52
154,2019-07-12 07:53:36.000,25.52
155,2019-07-12 07:53:36.100,25.39
156,2019-07-12 07:53:36.200,25.39
157,2019-07-12 07:53:36.300,25.48
158,2019-07-12 07:53:36.400,25.48
159,2019-07-12 07:53:36.500,25.6
160,2019-07-12 07:53:36.600,25.6
161,2019-07-12 07:53:36.700,25.58
162,2019-07-12 07:53:36.800,25.58
163,2019-07-12 07:53:36.900,25.58
164,2019-07-12 07:53:37.000,25.52
165,2019-07-12 07:53:37.100,25.52
166,2019-07-12 07:53:37.200,25.52
167,2019-07-12 07:53:37.300,25.48
168,2019-07-12 07:53:37.400,25.48
169,2019-07-12 07:53:37.500,25.22
170,2019-07-12 07:53:37.600,25.5
171,2019-07-12 07:53:37.700,25.5
172,2019-07-12 07:53:37.800,25.44
173,2019-07-12 07:53:37.900,25.44
174,2019-07-12 07:53:38.000,25.62
175,2019-07-12 07:53:38.100,25.62
176,2019-07-12 07:53:38.200,25.48
177,2019-07-12 07:53:38.300,25.48
178,2019-07-12 07:53:38.400,25.56
179,2019-07-12 07:53:38.500,25.56
180,2019-07-12 07:53:38.600,25.51
181,2019-07-12 07:53:38.700,25.51
182,2019-07-12 07:53:38.800,25.55
183,2019-07-12 07:53:38.900,25.55
184,2019-07-12 07:53:39.000,25.34
185,2019-07-12 07:53:39.100,25.34
186,2019-07-12 07:53:39.200,25.38
187,2019-07-12 07:53:39.300,25.38
188,2019-07-12 07:53:39.400,25.34
189,2019-07-12 07:53:39.500,25.62
190,2019-07-12 07:53:39.600,25.62
191,2019-07-12 07:53:39.700,25.55
192,2019-07-12 07:53:39.800,25.37
193,2019-07-12 07:53:39.900,25.37
194,2019-07-12 07:53:40.000,25.4
195,2019-07-12 07:53:40.100,25.4
196,2019-07-12 07:53:40.200,25.34
197,2019-07-12 07:53:40.300,25.64
198,2019-07-12 07:53:40.400,25.64
199,2019-07-12 07:53:40.500,25.5
200,2019-07-12 07:53:40.600,25.66
201,2019-07-12 07:53:40.700,25.66
202,2019-07-12 07:53:40.800,25.52
203,2019-07-12 07:53:40.900,25.52
204,2019-07-12 07:53:41.000,25.52
205,2019-07-12 07:53:41.100,25.56
206,2019-07-12 07:53:41.200,25.56
207,2019-07-12 07:53:41.300,25.56
208,2019-07-12 07:53:41.400,25.37
209,2019-07-12 07:53:41.500,25.6
210,2019-07-12 07:53:41.600,25.6
211,2019-07-12 07:53:41.700,25.59
212,2019-07-12 07:53:41.800,25.65
213,2019-07-12 07:53:41.900,25.65
214,2019-07-12 07:53:42.000,25.36
215,2019-07-12 07:53:42.100,25.36
216,2019-07-12 07:53:42.200,25.38
217,2019-07-12 07:53:42.300,25.39
218,2019-07-12 07:53:42.400,25.5
219,2019-07-12 07:53:42.500,25.5
220,2019-07-12 07:53:42.600,25.3
221,2019-07-12 07:53:42.700,27.89
222,2019-07-12 07:53:42.800,37.39
223,2019-07-12 07:53:42.900,37.39
224,2019-07-12 07:53:43.000,47.6
225,2019-07-12 07:53:43.100,52.81
226,2019-07-12 07:53:43.200,52.81
227,2019-07-12 07:53:43.300,51.65
228,2019-07-12 07:53:43.400,46.45
229,2019-07-12 07:53:43.500,46.45
230,2019-07-12 07:53:43.600,48.51
231,2019-07-12 07:53:43.700,48.51
232,2019-07-12 07:53:43.800,45.38
233,2019-07-12 07:53:43.900,46.47
234,2019-07-12 07:53:44.000,46.47
235,2019-07-12 07:53:44.100,46.01
236,2019-07-12 07:53:44.200,46.01
237,2019-07-12 07:53:44.300,44.25
238,2019-07-12 07:53:44.400,44.25
239,2019-07-12 07:53:44.500,40.52
240,2019-07-12 07:53:44.600,37.0
241,2019-07-12 07:53:44.700,31.48
242,2019-07-12 07:53:44.800,31.33
243,2019-07-12 07:53:44.900,31.33
244,2019-07-12 07:53:45.000,30.72
245,2019-07-12 07:53:45.100,30.72
246,2019-07-12 07:53:45.200,30.95
247,2019-07-12 07:53:45.300,31.02
248,2019-07-12 07:53:45.400,31.02
249,2019-07-12 07:53:45.500,21.11
250,2019-07-12 07:53:45.600,21.11
251,2019-07-12 07:53:45.700,8.66
252,2019-07-12 07:53:45.800,8.66
253,2019-07-12 07:53:45.900,3.14
254,2019-07-12 07:53:46.000,3.14
255,2019-07-12 07:53:46.100,3.52
256,2019-07-12 07:53:46.200,3.52
257,2019-07-12 07:53:46.300,6.91
258,2019-07-12 07:53:46.400,9.15
259,2019-07-12 07:53:46.500,9.15
260,2019-07-12 07:53:46.600,9.15
261,2019-07-12 07:53:46.700,4.44
262,2019-07-12 07:53:46.800,3.27
263,2019-07-12 07:53:46.900,1.84
264,2019-07-12 07:53:47.000,1.46
265,2019-07-12 07:53:47.100,1.46
266,2019-07-12 07:53:47.200,0.0
